0 1
23	20
46	79
80	76
6	54
91	99
75	59
55	90
37	15
78	80
2	17
68	74
87	38
78	86
91	56
57	6
26	44
22	9
80	60
1	7
79	67
1	79
88	21
32	86
4	50
38	34
39	42
41	5
93	7
53	65
6	78
45	48
49	84
99	48
33	17
78	98
2	50
28	41
35	71
49	48
34	92
66	78
42	12
81	65
26	61
7	3
72	16
84	38
90	3
17	12
60	81
58	57
95	98
86	30
18	20
19	60
57	17
17	18
55	44
88	48
90	88
21	69
33	97
48	76
93	14
16	59
16	47
13	29
71	18
35	19
5	92
4	18
43	74
93	74
27	51
30	58
22	35
66	6
6	53
44	68
13	71
95	68
31	59
100	3
42	74
100	76
39	77
35	49
59	36
25	63
59	40
35	1
89	64
24	55
6	64
99	3
42	85
27	60
25	91
15	99
39	11
32	34
67	15
38	35
21	25
82	16
98	42
86	84
92	14
51	61
86	97
32	7
23	8
8	37
91	23
48	25
81	69
11	26
71	97
25	63
41	47
78	16
10	25
26	2
34	69
24	23
29	29
97	35
100	65
20	19
33	90
63	90
29	89
9	86
11	8
49	43
42	83
54	81
56	14
40	36
17	54
12	92
83	51
88	67
66	70
62	59
71	86
18	47
64	17
41	72
97	50
96	14
80	41
89	53
84	19
20	47
52	2
69	31
98	73
64	74
96	100
85	3
7	21
63	28
22	37
72	37
52	72
1	59
74	29
63	72
68	14
99	35
58	89
16	3
19	72
9	23
58	11
48	86
87	55
63	51
14	34
38	15
25	26
2	73
34	79
96	24
70	46
87	64
77	85
91	85
96	52
20	86
68	75
6	77
53	28
87	41
57	71
5	81
6	53
83	34
14	52
1	69
95	75
26	41
73	28
85	20
35	11
5	57
55	16
65	52
15	66
43	79
85	19
3	73
32	3
95	24
2	2
92	42
33	27
95	82
50	98
9	85
57	71
26	94
17	96
39	26
100	22
39	79
6	51
60	69
47	18
6	59
13	52
19	8
13	72
45	61
7	48
81	63
43	98
32	67
21	74
93	91
89	25
48	42
88	90
69	43
17	94
74	97
29	9
39	74
47	25
43	41
13	76
20	97
58	63
14	43
72	95
88	73
55	83
19	41
13	22
79	46
60	29
51	41
76	67
40	9
24	12
72	29
11	48
67	93
36	24
19	34
47	3
27	13
52	6
59	18
73	51
87	35
17	33
89	96
91	62
60	87
64	28
2	61
75	33
4	48
12	72
91	14
99	5
31	74
57	80
13	17
47	57
23	75
84	11
80	90
26	65
3	58
49	95
40	17
70	8
74	4
57	16
33	27
39	16
51	89
14	41
12	9
8	21
97	28
23	93
21	11
5	8
23	32
49	40
78	24
16	21
93	64
80	23
31	61
30	13
77	46
72	39
93	70
2	24
25	68
71	57
53	3
97	40
29	46
3	73
3	84
65	93
23	8
1	70
21	12
38	93
72	75
35	61
27	85
88	76
26	32
24	82
31	89
3	100
21	48
59	12
3	63
81	85
45	48
18	71
98	22
91	80
80	98
7	34
61	54
89	72
79	31
59	7
69	34
94	56
51	2
74	54
75	14
60	90
39	44
91	89
9	81
9	91
48	66
75	9
56	47
32	56
92	83
100	28
29	9
25	15
8	6
86	26
27	15
54	67
12	61
20	85
